,precision,recall,f1-score,support
0,0.9400627913614309,0.997476277003836,0.9679188911201451,9906.0
1,0.2857142857142857,0.015625,0.02962962962962963,640.0
accuracy,0.9378911435615399,0.9378911435615399,0.9378911435615399,0.9378911435615399
macro avg,0.6128885385378583,0.5065506385019181,0.49877426037488737,10546.0
weighted avg,0.9003526601634247,0.9378911435615399,0.9109773846386421,10546.0
